Departamento,Provincia,Distrito,Latitud,Longitud
SAN MARTIN,LAMAS,SHANAO,-6.408132842,-76.57785082
SAN MARTIN,LAMAS,TABALOSOS,-6.388650344,-76.65523782
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,-6.311313776,-76.77294844
SAN MARTIN,MOYOBAMBA,SORITOR,-6.272742732,-77.0541425
SAN MARTIN,LAMAS,PINTO RECODO,-6.157751191,-76.71294248
SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,-6.203746265,-76.53856237
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,-5.768325411,-77.1699048
SAN MARTIN,RIOJA,PARDO MIGUEL,-5.748707121,-77.63414666
CAJAMARCA,CUTERVO,CALLAYUC,-6.127410967,-78.93094685
LIMA,HUAROCHIRI,MARIATANA,-12.26163693,-76.3653203
LIMA,HUAROCHIRI,SAN BARTOLOME,-11.9140806,-76.5014098
LIMA,HUAROCHIRI,SAN JUAN DE IRIS,-11.7189686,-76.46909066
LIMA,HUAROCHIRI,SAN MATEO,-11.81978469,-76.21898285
LIMA,HUAROCHIRI,SAN PEDRO DE HUANCAYRE,-12.08670915,-76.19663805
LIMA,HUAROCHIRI,SANTIAGO DE TUNA,-11.97806168,-76.52845972
LIMA,YAUYOS,HONGOS,-12.76649359,-75.67283811
LIMA,YAUYOS,TUPE,-12.69029053,-75.73609814
LIMA,YAUYOS,VIÑAC,-12.88755923,-75.77042743
LIMA,HUARAL,ATAVILLOS BAJO,-11.34645363,-76.76105371
CAJAMARCA,SANTA CRUZ,SEXI,-6.585585015,-79.03635681
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,-6.739829671,-79.84258728
LAMBAYEQUE,FERREÑAFE,INCAHUASI,-6.231204726,-79.38712606
LAMBAYEQUE,CHICLAYO,PICSI,-6.716392495,-79.77257757
LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.79943333,-79.9035376
LAMBAYEQUE,CHICLAYO,POMALCA,-6.781753887,-79.75903758
LAMBAYEQUE,CHICLAYO,PUCALA,-6.794629203,-79.51372625
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,-6.620501803,-79.79116328
LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,-6.62989788,-79.82443149
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.673957847,-79.93289762
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,-6.562819332,-79.88751511
LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,-6.76605963,-79.93691491
LAMBAYEQUE,LAMBAYEQUE,TUCUME,-6.50330862,-79.87627533
CAJAMARCA,HUALGAYOC,CHUGUR,-6.685519176,-78.7076815
PIURA,SULLANA,SALITRAL,-4.83829982,-80.68325309
PIURA,SECHURA,SECHURA,-5.919468762,-80.66047746
PIURA,PIURA,LA ARENA,-5.308990826,-80.76257134
ICA,PISCO,HUMAY,-13.74408443,-75.81798549
ICA,PISCO,INDEPENDENCIA,-13.6468601,-76.01299675
TACNA,JORGE BASADRE,ILABAYA,-17.38376027,-70.57097981
TACNA,JORGE BASADRE,ITE,-17.80351618,-70.93299515
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.22922118,-71.06123727
MOQUEGUA,MARISCAL NIETO,SAMEGUA,-17.15667845,-70.85260041
MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,-16.66339733,-70.6446533
MOQUEGUA,MARISCAL NIETO,TORATA,-16.99811904,-70.73832134
MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,-16.64664733,-70.96299546
MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,-16.45701962,-70.57125182
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,-16.18823079,-70.49471811
TACNA,TACNA,SAMA,-17.95701545,-70.66769807
TACNA,CANDARAVE,CANDARAVE,-17.04193223,-70.24785661
TACNA,CANDARAVE,CURIBAYA,-17.39413206,-70.33387802
TACNA,TACNA,ALTO DE LA ALIANZA,-17.83335609,-70.27889592
LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,-7.350197441,-79.54709084
LA LIBERTAD,PACASMAYO,SAN JOSE,-7.369810823,-79.38567099
LA LIBERTAD,PATAZ,BULDIBUYO,-8.124407384,-77.38275555
