Departamento;Provincia;Distrito;Latitud;Longitud
HUANCAVELICA;TAYACAJA;DANIEL HERNANDEZ;-12.3453389527;-74.8336572807
HUANCAVELICA;TAYACAJA;HUARIBAMBA;-12.2621008551;-74.908894256
HUANCAVELICA;TAYACAJA;SAN MARCOS DE ROCCHAC;-12.0792398208;-74.9488761403
HUANCAVELICA;CHURCAMPA;COSME;-12.5705116393;-74.6452413725
HUANCAVELICA;CHURCAMPA;LA MERCED;-12.7949007454;-74.3297789432
HUANCAVELICA;CHURCAMPA;PACHAMARCA;-12.505340554;-74.4604841211
HUANCAVELICA;CHURCAMPA;CHINCHIHUASI;-12.4522617962;-74.5699469992
HUANCAVELICA;TAYACAJA;COLCABAMBA;-12.3851305072;-74.7004625468
ICA;CHINCHA;ALTO LARAN;-13.3821947316;-75.9390041933
ICA;CHINCHA;CHAVIN;-13.1202625295;-75.9426672281
ICA;CHINCHA;CHINCHA BAJA;-13.4966751429;-76.1508533735
ICA;CHINCHA;EL CARMEN;-13.5121981957;-75.9153825662
JUNIN;HUANCAYO;SAPALLANGA;-12.1138593519;-75.1397434247
JUNIN;CHUPACA;CHONGOS BAJO;-12.1948350154;-75.2844327867
JUNIN;CONCEPCION;CHAMBARA;-12.0056080019;-75.4364796645
JUNIN;HUANCAYO;PARIAHUANCA;-11.9521803199;-74.8769777367
JUNIN;JAUJA;SINCOS;-11.9420680168;-75.5131170483
JUNIN;CONCEPCION;MANZANARES;-12.0018817591;-75.364486184
JUNIN;HUANCAYO;SAN AGUSTIN;-11.9890120708;-75.2344782832
JUNIN;HUANCAYO;SAÑ‘O;-11.9506179434;-75.2468843658
JUNIN;CONCEPCION;ORCOTUNA;-11.9753309661;-75.3282264873
JUNIN;HUANCAYO;CHACAPAMPA;-12.4104203613;-75.2571328248
JUNIN;HUANCAYO;CARHUACALLANGA;-12.3554296833;-75.2025810774
JUNIN;HUANCAYO;CHICCHE;-12.2907534971;-75.2933797622
JUNIN;CHUPACA;AHUAC;-12.0819994273;-75.3515546078
JUNIN;CHUPACA;SAN JUAN DE JARPA;-12.1234933139;-75.4510172516
LORETO;PUTUMAYO;YAGUAS;-2.80433167812;-71.0132092002
LORETO;PUTUMAYO;ROSA PANDURO;-1.55813080211;-73.865997263
AMAZONAS;UTCUBAMBA;CAJARURO;-5.61431277899;-78.1747793764
AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;-6.65901990083;-77.8595316616
AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;-6.54747074451;-77.4200108986
AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;-6.49865853395;-77.4136453278
AMAZONAS;LUYA;TINGO;-6.38686537469;-77.9435254594
AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;-6.35441720956;-77.8225667852
